fdc_id,protein_g,fat_g,carbs_g,calories,description
169605,3.25,2.82,20.68,121.0,"Puddings, rice, dry mix, prepared with whole milk"
169606,0.1,0.1,94.3,369.0,"Puddings, tapioca, dry mix"
169607,2.84,2.89,19.43,115.0,"Puddings, tapioca, dry mix, prepared with whole milk"
169608,1.45,3.78,22.6,130.0,"Puddings, vanilla, ready-to-eat"
169609,0.3,0.4,93.5,379.0,"Puddings, vanilla, dry mix, regular"
169610,2.8,2.9,18.92,113.0,"Puddings, vanilla, dry mix, regular, prepared with whole milk"
169611,3.29,1.63,20.81,111.0,"Puddings, rice, dry mix, prepared with 2% milk"
169612,2.88,1.67,19.56,105.0,"Puddings, tapioca, dry mix, prepared with 2% milk"
169613,0.5,0.1,6.2,24.0,"Frozen novelties, ice type, fruit, no sugar added"
169614,1.95,3.88,21.69,130.0,"Puddings, tapioca, ready-to-eat"
169615,3.1,2.5,17.8,104.0,"Puddings, coconut cream, dry mix, regular, prepared with 2% milk"
169616,2.4,3.3,91.5,363.0,"Desserts, rennin, chocolate, dry mix"
169617,3.2,3.34,13.34,96.0,"Rennin, chocolate, dry mix, prepared with whole milk"
169618,1.5,24.0,52.7,433.0,"Frostings, coconut-nut, ready-to-eat"
169619,0.1,17.3,67.32,415.0,"Frostings, cream cheese-flavor, ready-to-eat"
169620,0.0,16.23,67.89,418.0,"Frostings, vanilla, creamy, ready-to-eat"
169621,2.99,1.72,18.82,103.0,"Flan, caramel custard, dry mix, prepared with 2% milk"
169622,9.76,35.73,51.72,568.0,"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES"
169623,11.34,29.85,55.18,521.0,"Candies, REESE'S BITES"
169624,11.28,32.09,52.8,517.0,"Candies, REESE'S NUTRAGEOUS Candy Bar"
169625,1.3,5.2,92.0,389.0,"Frostings, chocolate, creamy, dry mix"
169626,1.5,0.0,62.6,244.0,"Frostings, white, fluffy, dry mix, prepared with water"
169627,5.58,34.5,57.54,563.0,"Candies, HERSHEY'S, ALMOND JOY BITES"
169628,9.53,31.34,55.38,521.0,"Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate"
169629,6.24,27.84,63.64,520.0,"Candies, HERSHEY, KIT KAT BIG KAT Bar"
169630,8.66,23.42,61.6,474.0,"Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats"
169631,3.97,7.45,21.42,169.0,"Ice creams, vanilla, light, no sugar added"
169632,1.2,0.1,20.2,87.0,"Frozen novelties, fruit and juice bars"
169633,3.54,5.74,26.79,173.0,"Ice creams, chocolate, light, no sugar added"
169634,7.5,30.0,59.95,540.0,"Candies, dark chocolate coated coffee beans"
169635,0.6,1.0,82.7,342.0,"Snacks, SUNKIST, SUNKIST Fruit Roll, strawberry, with vitamins A, C, and E"
169636,0.1,3.5,85.2,373.0,"Snacks, fruit leather, pieces, with vitamin C"
169637,7.41,33.18,55.25,549.0,"Candies, milk chocolate coated coffee beans"
169638,0.4,0.0,32.6,128.0,"Frozen novelties, ice type, lime"
169639,15.25,36.22,43.64,536.0,"Candies, MARS SNACKFOOD US, SNICKERS MUNCH bar"
169640,0.3,0.0,82.4,304.0,Honey
169641,0.37,0.07,68.86,278.0,Jams and preserves
169642,0.15,0.02,69.95,266.0,Jellies
169643,7.15,24.32,61.07,480.0,"Candies, MARS SNACKFOOD US, POP'ABLES SNICKERS Brand Bite Size Candies"
169644,3.3,18.0,71.85,463.0,"Candies, MARS SNACKFOOD US, POP'ABLES MILKY WAY Brand Bite Size Candies"
169645,2.59,15.17,75.94,443.0,"Candies, MARS SNACKFOOD US, POP'ABLES 3 MUSKETEERS Brand Bite Size Candies"
169646,0.41,8.36,82.43,408.0,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Fruit and Creme"
169647,0.39,7.78,79.73,400.0,"Candies, MARS SNACKFOOD US, STARBURST Sour Fruit Chews"
169648,0.0,0.6,92.7,367.0,"Puddings, banana, dry mix, instant"
169649,2.62,2.8,19.76,115.0,"Puddings, banana, dry mix, instant, prepared with whole milk"
